Problem, Technique, Best Fit, Best Time
FlipFlop,RHC,19,216.255268494967
FlipFlop,SA,19,0.050873777083022
FlipFlop,GA,19,0.014595079249678
FlipFlop,MIMIC,19,0.221915778667911
Knapsack,RHC,188,13.6268574284194
Knapsack,SA,188,0.191057531832485
Knapsack,GA,188,0.60542464225091
Knapsack,MIMIC,188,5.85959263433324
MaxKColor,RHC,13,0.688748491844438
MaxKColor,SA,15,0.113942306751293
MaxKColor,GA,7,0.050806547750654
MaxKColor,MIMIC,7,0.42109169608193
Queens,RHC,29,19.1891539808305
Queens,SA,22,0.829321649667387
Queens,GA,17,2.31485863708379
Queens,MIMIC,17,25.9336922991661
TravelingSalesman,RHC,3674.24696501693,4.87425270418892
TravelingSalesman,SA,3233.32017937813,0.731377434000933
TravelingSalesman,GA,3122.83404705434,1.60854118866822
TravelingSalesman,MIMIC,3122.83404705434,31.5133425688321
